,Name
499,zanmi
500,ambiya
501,manmohan
502,sahrul
503,halima
504,satyawan
505,kmo
506,sakina
507,dhruv
508,reenu
509,meghashayam
510,gulfara
511,kangana
512,nadir
513,masuma
514,aamosh
515,aashiya
516,samrin
517,biraj
518,jabir
519,shabanam
520,gaffar
521,saizad
522,fhaishal
523,vickky
524,amol
525,aanik
526,abhinay
527,amita
528,laltes
529,sosan
530,doodhnath
531,marya
532,rehmat
533,omperkash
534,simranjeet
535,shazad
536,mahindra
537,baichan
538,shun
539,nanhe
540,anantram
541,risiraj
542,sahrik
543,dal
544,azad
545,kalwant
546,lalmuni
547,chanchl
548,javuneesha
549,mobin
550,sugana
551,fuli
552,amar
553,sanjeev
554,"raju,"
555,sanno
556,bhabhav
557,yamini
558,adrash
559,ramsewak
560,chandreshwar
561,khushbari
562,kanti
563,guru
564,manvendra
565,sahajha
566,taniya
567,kanki
568,mahveer
569,paru
570,shahzadi
571,rajeswary
572,arvinder
573,shafibul
574,sahnaj
575,chandini
576,jatan
577,shardanand
578,sabra
579,bipin
580,matadeen
581,jasoda
582,meenakashi
583,sobit
584,habiba
585,rsjesh
586,momina
587,shahnwaj
588,mukhtyar
589,ilma
590,mohani
591,niru
592,jeeren
593,devanand
594,tabbwum
595,chatan
596,dhaney
597,shakeena
598,jamee
599,umme
600,fateh
601,himal
602,akil
603,khushi
604,anshika
605,musrat
606,rachpreet
607,bijali
608,koyali
609,deen
610,benjir
611,somdevi
612,jitin
613,himansi
614,jyoty
615,naeem
616,manohar
617,nasiar
618,birij
619,masheen
620,sahiba
621,sat
622,satvir
623,partyush
624,anandi
625,toquir
626,maneesha
627,mnisha
628,kaptan
629,kusumlata
630,haneef
631,tane
632,minaksi
633,sumita
634,afzal
635,shahnaz
636,shahbuddin
637,arshi
638,bhajandeep
639,kalpesh
640,ramjeet
641,gappu
642,urvarshi
643,anjara
644,mahbir
645,annu
646,lakki
647,jioty
648,murad
649,indra
650,deou
651,yognder
652,bhanwari
653,hasina
654,sardhu
655,bintu
656,farheen
657,umrawti
658,deepika
659,sheru
660,najarana
661,chintu
662,tazaudeen
663,shail
664,tarunnam
665,kumari
666,kripya
667,chandan
668,aatir
669,dhapu
670,baijnath
671,fatma
672,binita
673,deepan
674,shabbir
675,mohmmd
676,shan
677,badarjahan
678,nankesh
679,jaiguna
680,satan
681,kauslender
682,rambir
683,subburaiyalu
684,faizal
685,rebecca
686,yasmeen
687,nar
688,rambabu
689,shanvaj
690,kabid
691,parjinder
692,aahim
693,sazmin
694,murarilal
695,sourabh
696,vidhya
697,rajeshwari
698,subani
699,hemani
700,kausal
701,lakshmi
702,jagdiesh
703,satnam
704,riti
705,chandrram
706,bhakuni
707,shanwaz
708,phoola
709,madharam
710,naveena
711,samiksa
712,mintu
713,saddiq
714,akhtari
715,badru
716,nischaya
717,mamuni
718,anaro
719,faran
720,riyajul
721,aayesha
722,chanderkanta
723,sandhaya
724,mukat
725,swarn
726,kumara
727,devli
728,bigan
729,khusboo
730,bhuri
731,parbhat
732,harshdeep
733,bhopal
734,chatar
735,vikshi
736,rambhul
737,chunni
738,dipanshi
739,maniram
740,gulsida
741,alijan
742,fija
743,mahavir
744,anayatha
745,gulabsa
746,bunda
747,gyan
748,amirul
749,nazeem
750,swaranjeet
751,jalil
752,janta
753,sabi
754,sudhata
755,agrej
756,subhangi
757,mooli
758,dakshya
759,poma
760,paul
761,pasanjeet
762,monam
763,afroz
764,pawansingh
765,sardeep
766,yogender
767,ramjiyawan
768,shivyalam
769,ravishankar
770,sahi
771,amrit
772,jimmi
773,ratmo
774,sukhram
775,shokar
776,mahender
777,lalit
778,grace
779,krishnal
780,saleem
781,warish
782,sabreen
783,syed
784,satrughan
785,pavan
786,jully
787,narender
788,kailesh
789,ramniwas
790,gouri
791,khubhu
792,priyaka
793,dirgaj
794,sabrina
795,ilesh
796,nikita
797,susri
798,surgayan
799,batu
800,indresh
801,vinna
802,chanda
803,dhanpati
804,shila
805,ajima
806,dhanni
807,khushbhu
808,partima
809,riya
810,sandya
811,baksi
812,alapna
813,meeramai
814,nayamati
815,dolo
816,kesar
817,dhramender
818,karishma
819,firakat
820,khumlo
821,skunatla
822,fahira
823,charanjeet
824,megraaj
825,binani
826,sahina
827,saroj
828,rachna(with
829,jeet
830,sangeena
831,pardeep
832,prabhjit
833,saveroon
834,shveta
835,rvina
836,jauli
837,rubina
838,nishant
839,papp
840,saweta
841,khurshid
842,zamile
843,khurshida
844,muzamiil
845,shanwaj
846,babu
847,mahroj
848,julficar
849,lad
850,selva
851,subhdra
852,saiesta
853,abhi
854,mahipal
855,nayan
856,hom
857,nathiya
858,baidnath
859,sarvjeet
860,siyaram
861,mubashir
862,aryan
863,nargis
864,mast
865,nanagram
866,ruvi
867,puranmal
868,abhisekh
869,aruna
870,radheyshyam
871,sayma
872,akansha
873,aidtya
874,minder
